timestamp;latitude;longitude;RTK;satellite;hdop;ping
80628.6004;46.14855090500001;-1.0626466066666664;4;28;0.61;37.0
80629.4004;46.14855090333333;-1.0626465916666668;4;28;0.61;35.5
80630.4004;46.14855091833333;-1.0626465533333336;4;28;0.61;33.0
80631.4004;46.148550911666675;-1.0626465516666668;4;28;0.61;34.2
80632.6004;46.148550906666664;-1.06264661;4;28;0.61;47.2
80633.4004;46.148550898333326;-1.0626465833333334;4;28;0.61;26.2
80634.4004;46.14855089500001;-1.0626465466666666;4;28;0.61;23.2
80635.6004;46.14855088666666;-1.062646515;4;28;0.61;46.2
80636.6004;46.14855089166667;-1.0626465183333331;4;28;0.61;32.2
80637.4004;46.14855092833333;-1.0626466116666669;4;28;0.61;33.1
80638.6004;46.148550959999994;-1.0626466033333335;4;28;0.61;35.3
80639.4004;46.14855096833333;-1.062646558333333;4;28;0.61;34.3
80640.4004;46.14855096666667;-1.0626465216666667;4;28;0.61;38.7
80641.6004;46.14855095500001;-1.0626465000000003;4;28;0.61;33.2
80642.4004;46.14855093500001;-1.0626464949999999;4;28;0.61;25.6
80643.6004;46.14855089166667;-1.0626465933333336;4;28;0.61;32.6
80644.4004;46.14855088333334;-1.0626465866666666;4;28;0.61;27.1
80645.6004;46.14855087333334;-1.0626465683333333;4;28;0.61;35.8
80646.6004;46.14855087166667;-1.0626465616666667;4;28;0.61;27.0
80647.6004;46.14855092333333;-1.0626466116666669;4;28;0.61;38.4
80648.6004;46.14855091833333;-1.0626465616666667;4;28;0.61;34.9
80649.4004;46.14855176333333;-1.0626499433333334;4;28;0.61;24.8
80650.6004;46.14855650333333;-1.0626694733333333;4;28;0.61;39.9
80651.6004;46.14856308166666;-1.0626969966666664;4;28;0.61;34.0
80652.6004;46.14857138333333;-1.0627322316666667;4;28;0.61;44.3
80653.6004;46.14858106666667;-1.06277405;4;28;0.61;29.1
80654.6004;46.14859064333333;-1.0628166916666666;4;28;0.61;32.7
80655.6004;46.148599190000006;-1.0628552333333336;4;28;0.61;34.1
80656.6004;46.148606613333335;-1.0628907416666664;4;28;0.61;24.5
80657.6004;46.14861211333334;-1.062924625;4;28;0.61;43.8
80658.6004;46.148614906666666;-1.06295698;4;28;0.61;44.0
80659.6004;46.14861563999999;-1.0629879766666668;4;28;0.61;25.3
80700.6004;46.14861371333333;-1.0630180183333333;4;28;0.61;23.9
80701.6004;46.14860911333334;-1.0630446783333334;4;28;0.61;41.9
80702.6004;46.148602651666664;-1.0630688033333333;4;28;0.61;72.1
80703.6004;46.14859429;-1.0630916683333331;4;28;0.61;31.1
80704.6004;46.14858219999999;-1.063114408333333;4;28;0.61;30.9
80705.6004;46.148567885;-1.06313118;4;28;0.61;29.9
80706.6004;46.14855378;-1.063141508333333;4;28;0.61;25.4
80707.6004;46.148542346666666;-1.0631466416666666;4;28;0.61;21.9
80708.6004;46.148529316666654;-1.0631482583333332;4;28;0.61;30.4
80709.6004;46.148508196666675;-1.0631397333333332;4;28;0.61;28.1
80710.6004;46.14848499833333;-1.0631147083333334;4;28;0.61;17.4
80711.6004;46.14846241166667;-1.0630745233333334;4;28;0.61;38.8
80712.6004;46.14844391166667;-1.0630228016666667;4;28;0.61;21.4
80713.6004;46.14842800500001;-1.0629648816666666;4;28;0.61;18.8
80714.6004;46.148413966666666;-1.0629078433333334;4;28;0.61;32.4
80715.6004;46.14840244499999;-1.0628521450000001;4;28;0.61;21.2
80716.6004;46.148394268333334;-1.0627966283333332;4;28;0.61;19.9
80717.6004;46.14838771166666;-1.06273939;4;28;0.61;22.4
80718.6004;46.14837795166667;-1.0626804316666667;4;28;0.61;16.4
80719.6004;46.148364611666665;-1.0626162866666664;4;28;0.61;20.8
80720.6004;46.148347255;-1.0625492166666668;4;28;0.61;20.2
80721.6004;46.14832673666666;-1.0624800416666667;4;28;0.61;24.2
80722.6004;46.14830555499999;-1.0624114466666665;4;28;0.61;17.7
80723.6004;46.148286479999996;-1.0623422866666667;4;28;0.61;16.0
80724.6004;46.14826876333333;-1.0622767433333333;4;28;0.61;20.0
80725.6004;46.14825538333332;-1.0622178116666667;4;28;0.61;17.9
80726.6004;46.14825347666667;-1.0621631100000002;4;28;0.61;16.4
80727.6004;46.148265508333324;-1.062113015;4;28;0.61;29.9
80728.6004;46.14828977833334;-1.062073611666667;4;28;0.61;23.1
80729.6004;46.14832428166665;-1.0620543299999998;4;28;0.61;28.5
80730.6004;46.148362963333334;-1.0620614033333333;4;28;0.61;25.0
80731.6004;46.148396583333344;-1.0620955933333334;4;28;0.61;29.9
80732.6004;46.148421973333335;-1.0621466600000002;4;28;0.61;162.0
80733.6004;46.1484413;-1.062207815;4;28;0.61;29.5
80734.6004;46.14845836333334;-1.0622735666666667;4;28;0.61;35.2
80735.6004;46.14847434166666;-1.0623397016666667;4;28;0.61;34.4
80736.6004;46.148489895000004;-1.0624049916666665;4;28;0.61;39.5
80737.6004;46.14850550333334;-1.0624695800000001;4;28;0.61;24.0
80738.6004;46.14852113166667;-1.0625323150000001;4;28;0.61;19.0
80739.6004;46.14853647;-1.06259348;4;28;0.61;38.5
80740.6004;46.148551026666674;-1.062652245;4;28;0.61;25.5
80741.6004;46.14856408;-1.0627053716666666;4;28;0.61;32.6
80742.6004;46.148575234999996;-1.0627510866666665;4;28;0.61;35.1
80743.6004;46.14858440833333;-1.062788265;4;28;0.61;30.6
80744.6004;46.14859117166667;-1.0628161783333332;4;28;0.61;27.5
80745.6004;46.14859447166666;-1.0628299483333334;4;28;0.61;21.9
